# Vestibular FGV Unificado 2024.1 — provas de 15 e 16/11/2023. Caderno objetivo A (verde). Gabarito lido dos destaques amarelos do caderno-gabarito oficial. Q60 ANULADA.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2024.1;Objetiva;1;Matemática;Aritmética e problemas;potências;D;;potenciação;Soma de três potências iguais de 3
2024.1;Objetiva;2;Matemática;Aritmética e problemas;intervalos regulares e tempo;A;;tempo,contagem;Horário do 224º soluço com intervalos de 6 segundos
2024.1;Objetiva;3;Matemática;Razão, proporção e porcentagem;frações de um grupo;A;;frações;Médicos e enfermeiros que moram ou não no Rio: frações do total
2024.1;Objetiva;4;Matemática;Razão, proporção e porcentagem;regra de três;E;;drones;Dias para um drone monitorar o dobro da área
2024.1;Objetiva;5;Matemática;Funções;leitura de gráfico e função afim;D;;IBGE,crescimento populacional,gráfico;Taxa de crescimento populacional decrescente no gráfico do IBGE
2024.1;Objetiva;6;Matemática;Estatística;frequência relativa e média de dados agrupados;B;;tabela de frequência,futebol;Percentual de jogos com 2 ou mais gols juntando dois conjuntos de dados
2024.1;Objetiva;7;Matemática;Probabilidade;chances (odds) e probabilidade;C;;corrida de cavalos;Converter chances contra em probabilidade de vitória do cavalo Z
2024.1;Objetiva;8;Matemática;Lógica e raciocínio;ocupação mínima em mesa circular;B;;raciocínio lógico;Mínimo de pessoas numa mesa de 25 cadeiras sem adjacências livres
2024.1;Objetiva;9;Matemática;Álgebra e equações;equação do 2º grau (soma e produto);D;;raízes,retângulo;Raízes de 3x²−7x+1 como lados de retângulo aumentados em 3: nova área
2024.1;Objetiva;10;Matemática;Geometria espacial;distância entre vértices de cubos;B;;cubo,Pitágoras;Menor caminho/distância entre vértices de dois cubos em degrau
2024.1;Objetiva;11;Matemática;Funções;equação funcional;C;;propriedade de logaritmo;Função com f(x/y)=f(x)−f(y): calcular f(60) sabendo f(48)
2024.1;Objetiva;12;Matemática;Geometria espacial;volume de coroa cilíndrica;E;;cilindro,rolo de papel;Comprimento da folha enrolada em torno de um tubo
2024.1;Objetiva;13;Matemática;Lógica e raciocínio;tabela de 0 e 1 com somas;E;;matriz,raciocínio;Tabela 5x5 de 0s e 1s com somas de linhas e colunas de 1 a 5
2024.1;Objetiva;14;Matemática;Probabilidade;permutações caóticas;C;;amigo oculto;Probabilidade no sorteio de amigo oculto entre quatro amigos
2024.1;Objetiva;15;Matemática;Exponencial e logaritmo;espiral logarítmica;A;;trigonometria,exponencial;Ponto da espiral logarítmica no eixo y negativo
2024.1;Objetiva;16;Língua Portuguesa;Interpretação de texto;humor em tirinha;C;;tirinha,Frank & Ernest,personificação;Efeito de humor da tirinha sobre o colega de Newton
2024.1;Objetiva;17;Língua Portuguesa;Semântica e vocabulário;alusão;B;;charlatanismo,Peter Burke;"Gurus do marketing" alude a charlatanismo na esfera religiosa
2024.1;Objetiva;18;Língua Portuguesa;Semântica e vocabulário;sinônimo em contexto;E;;arrogar-se;Substituto para "arrogam-se" sem prejuízo do sentido
2024.1;Objetiva;19;Língua Portuguesa;Figuras de linguagem e estilo;eufemismo;C;;eufemismo;Trecho em que o autor recorre a um eufemismo
2024.1;Objetiva;20;Língua Portuguesa;Orações e relações lógicas;conectivo conclusivo;D;;conectivos,sendo assim;Valor da expressão "Sendo assim" (conclusão)
2024.1;Objetiva;21;Língua Portuguesa;Literatura;Estorvo (Chico Buarque);E;;Chico Buarque,romance contemporâneo,narrador;Atmosfera alucinatória: oscilações da percepção do narrador
2024.1;Objetiva;22;Língua Portuguesa;Literatura;Estorvo (Chico Buarque);D;;Chico Buarque,narrador;Percepção do narrador torna-se persecutória
2024.1;Objetiva;23;Língua Portuguesa;Literatura;Estorvo (Chico Buarque);A;;Chico Buarque,metáfora do Brasil,anos 1990;Estorvo como metáfora do Brasil de 1991: perda de rumo do país
2024.1;Objetiva;24;Língua Portuguesa;Literatura;Os sertões (Euclides da Cunha);E;;Euclides da Cunha,Canudos,preterição;Recursos de Euclides para enfatizar o horror do fim de Canudos
2024.1;Objetiva;25;Língua Portuguesa;Literatura;Os sertões (Euclides da Cunha);B;;Euclides da Cunha,Canudos;Sentido da "vertigem" no trecho sobre o fim de Canudos
2024.1;Objetiva;26;Língua Portuguesa;Morfologia e formação de palavras;pronome oblíquo com valor possessivo;A;;pronomes,Os sertões;Pronome oblíquo com valor de possessivo
2024.1;Objetiva;27;Língua Portuguesa;Sintaxe;sujeito posposto;C;;sujeito,Os sertões;Frase em que NÃO há sujeito posposto
2024.1;Objetiva;28;Língua Portuguesa;Figuras de linguagem e estilo;pleonasmo sintático;A;;pleonasmo,objeto pleonástico,Os sertões;Frase com pleonasmo sintático
2024.1;Objetiva;29;Língua Portuguesa;Literatura;Um piolho de Rui Barbosa (João Cabral);D;;João Cabral de Melo Neto,poesia,crítica;Atitude que o poeta NÃO atribui ao "piolho de Rui Barbosa"
2024.1;Objetiva;30;Língua Portuguesa;Literatura;Um piolho de Rui Barbosa (João Cabral);B;;João Cabral de Melo Neto,oratória,estilo nacional;"Único estilo nacional" criticado: propensão para a oratória
2024.1;Objetiva;31;Inglês;Informação específica;afirmação sustentada;D;;posse presidencial,EUA,Bíblia;Afirmação sustentada sobre o juramento presidencial dos EUA
2024.1;Objetiva;32;Inglês;Inferência;intenção do autor;B;;posse presidencial,Quora;Por que o autor menciona "a telephone book or a cookbook"
2024.1;Objetiva;33;Inglês;Informação específica;afirmação sustentada;C;;Barack Obama,posse;O que o texto diz sobre a primeira posse de Obama
2024.1;Objetiva;34;Inglês;Inferência;concordância com a autora;E;;OMC,comércio internacional,Ngozi Okonjo-Iweala,Foreign Affairs;Afirmação com que a diretora da OMC concordaria
2024.1;Objetiva;35;Inglês;Referência e vocabulário em contexto;referência pronominal;C;;OMC;A que se refere "They" em "They worked across geopolitical fault lines"
2024.1;Objetiva;36;Inglês;Inferência;intenção do autor;B;;OMC,protecionismo,anos 1930;Por que a autora cita a espiral de protecionismo dos anos 1930
2024.1;Objetiva;37;Inglês;Informação específica;afirmação do texto;A;;OMC,cooperação;O que o artigo afirma sobre cooperação estratégica
2024.1;Objetiva;38;Inglês;Informação específica;questão EXCEPT;E;;Taiwan,eleições,Wave Makers,The Economist;O que NÃO é típico de campanha presidencial em Taiwan
2024.1;Objetiva;39;Inglês;Compreensão geral;questão central da série;A;;Taiwan,mulheres na política;Pergunta central examinada pela série "Wave Makers"
2024.1;Objetiva;40;Inglês;Referência e vocabulário em contexto;paráfrase de frase;D;;Taiwan,pena de morte;Paráfrase de "is against the death penalty, but fears to say so in public"
2024.1;Objetiva;41;Inglês;Informação específica;objetivo da pesquisa;D;;bugios,primatas,Natural History;O que os cientistas esperavam descobrir sobre os bugios
2024.1;Objetiva;42;Inglês;Informação específica;questão NOT;A;;bugios;Afirmação NÃO sustentada sobre os bugios
2024.1;Objetiva;43;Inglês;Referência e vocabulário em contexto;sentido de frase;C;;bugios,brincadeira;Sentido de "No other behavior... allows them to do that"
2024.1;Objetiva;44;Inglês;Informação específica;fato histórico no texto;B;;Gandhi,não violência,Índia;O que Gandhi fez entre 1920 e 1922
2024.1;Objetiva;45;Inglês;Informação específica;fato histórico no texto;E;;Martin Luther King,Gandhi,direitos civis;Relação de Martin Luther King com Gandhi nos anos 1950
2024.1;Objetiva;46;Atualidades;Economia global;Drex, moeda digital brasileira;E;;Drex,Banco Central,moeda digital;A moeda digital Drex anunciada pelo Banco Central em 2023
2024.1;Objetiva;47;Atualidades;Geopolítica e conflitos;rivalidade China–EUA;C;;China,EUA,hegemonia;Tensões diplomáticas e comerciais entre China e EUA
2024.1;Objetiva;48;Atualidades;Cultura e artes;devolução do manto tupinambá;D;;manto tupinambá,povos indígenas,patrimônio,museus;Retorno ao Brasil do manto tupinambá do séc. XVII
2024.1;Objetiva;49;História;Antiguidade;cristianismo no Império Romano;A;;Constantino,Igreja,Roma;A Igreja cristã no tempo de Constantino
2024.1;Objetiva;50;História;Brasil Colônia;período joanino e Reino Unido;B;;D. João VI,Reino Unido,1815;Decisão joanina que transformou capitanias em entidade política
2024.1;Objetiva;51;História;Era Vargas;posse e governo provisório;D;;Getúlio Vargas,charge,1934;Charge sobre a posse de Getúlio Vargas na presidência
2024.1;Objetiva;52;História;Séc. XX: guerras e totalitarismos;social-democracia alemã e a 1ª Guerra;E;;SPD,Primeira Guerra,socialismo,Alemanha;Rachas no SPD a partir do apoio aos créditos de guerra
2024.1;Objetiva;53;História;Movimentos sociais e cidadania;ondas do feminismo;B;;feminismo,direitos das mulheres;As três "ondas" do feminismo e suas origens
2024.1;Objetiva;54;História;Descolonização e Sul Global;apartheid;A;;África do Sul,apartheid,1948;África do Sul a partir de 1948 e o regime do apartheid
2024.1;Objetiva;55;Geografia;Meio ambiente e sustentabilidade;desmatamento e fronteira agrícola;C;;Amazônia Legal,desmatamento,pecuária;Relação entre avanço da fronteira agrícola e desmatamento na Amazônia
2024.1;Objetiva;56;Geografia;Agropecuária e agronegócio;soja;D;;soja,agricultura tropical;Expansão da soja: pesquisa agrícola e adaptação ao meio tropical
2024.1;Objetiva;57;Geografia;Globalização e economia mundial;inserção internacional do Brasil;A;;commodities,comércio exterior;Benefícios da demanda externa por commodities para a economia brasileira
2024.1;Objetiva;58;Geografia;Globalização e economia mundial;dimensões da globalização;C;;globalização,finanças,fordismo;Dimensões financeira, comercial e produtiva da globalização
2024.1;Objetiva;59;Geografia;Globalização e economia mundial;transportes e competitividade;B;;transportes,modais,logística;Sistemas de transporte e competitividade no comércio internacional
2024.1;Objetiva;60;Geografia;Indústria e energia;matriz energética;ANULADA;;energia renovável,matriz energética;Consumo de energia renovável e não renovável no Brasil e no mundo (anulada)
2024.1;Redação;R;Redação;Cultura e educação;leitura digital x livro impresso;;;leitura digital,livro impresso,educação,Maryanne Wolf;Tema: "A leitura digital deve substituir a do livro impresso?"
2024.1;Discursiva;CH1;História;Antiguidade;Império Macedônico e helenismo;;;Alexandre,Macedônia,cultura helenística;Formação do Império Macedônico e definição de cultura helenística
2024.1;Discursiva;CH2;História;Idade Moderna;Inquisição ibérica;;;Inquisição,cristãos-novos,judaísmo,Bethencourt;Argumentos dos perseguidos pela Inquisição e o papel do tribunal
2024.1;Discursiva;CH3;História;Idade Moderna;tráfico atlântico e mercantilismo;;;tráfico de escravos,Grã-Bretanha,mercantilismo,capitalismo;Tráfico africano como pilar da economia britânica no séc. XVIII
2024.1;Discursiva;CH4;História;Brasil pós-1985;Centrão na Constituinte;;;Centrão,Constituinte 1987-88,Sarney,partidos;Perfil do Centrão na Constituinte e seu papel no governo Sarney
2024.1;Discursiva;CH5;Geografia;População e migração;transição demográfica (Censo 2022);;;Censo 2022,transição demográfica,natalidade;Causas comportamentais da desaceleração populacional e desafios econômicos
2024.1;Discursiva;CH6;Geografia;Clima e recursos hídricos;rios voadores;;;Amazônia,rios voadores,chuvas no Sudeste;Formação dos rios voadores e sua relação com o clima do Centro-Oeste e Sudeste
2024.1;Discursiva;CH7;Geografia;Globalização e economia mundial;turismo de massa;;;turismo,fluxos,OMT;Turismo de massa como vetor da globalização
2024.1;Discursiva;CH8;Geografia;Urbanização;rede urbana brasileira;;;rede urbana,hierarquia urbana,IBGE;Reestruturação da rede urbana brasileira e papel das cidades
2024.1;Discursiva;LP1;Língua Portuguesa;Argumentação e estratégias do texto;ironia em argumento;;;Calvin,tirinha,ironia;O comentário do pai de Calvin é um argumento irônico?
2024.1;Discursiva;LP2;Língua Portuguesa;Concordância, regência e crase;silepse de pessoa;;;silepse,concordância ideológica,Calvin;Achar silepse de pessoa nas falas de Calvin
2024.1;Discursiva;LP3;Língua Portuguesa;Interpretação de texto;implicações da desinformação;;;desinformação,saúde;Implicações da desinformação na saúde física e mental
2024.1;Discursiva;LP4;Língua Portuguesa;Semântica e vocabulário;sinônimos em contexto;;;potencializado,fomento;Sinônimos para "potencializado" e "fomento"
2024.1;Discursiva;LP5;Língua Portuguesa;Coesão e referência;conjunção "ou" e redundância;;;conjunções,redundância;É redundante "ao contrário" depois de "ou"?
2024.1;Discursiva;LP6;Língua Portuguesa;Concordância, regência e crase;regência verbal (norma-padrão);;;regência,focar em,pronome relativo;Adequar "que focam na forma que se divulga" à norma-padrão
2024.1;Discursiva;LP7;Língua Portuguesa;Interpretação de texto;tradução e metro poético;;;tradução,métrica;Explicar "o metro nem sempre pode ser guardado" na tradução
2024.1;Discursiva;LP8;Língua Portuguesa;Coesão e referência;pronome "o" como anafórico;;;pronome demonstrativo,anáfora;Trecho retomado pelo pronome em "Ainda que o fosse"
2024.1;Discursiva;AR1;Artes e Questões Contemporâneas;Artes visuais;A morte de Marat (David);;;Jacques-Louis David,Revolução Francesa,Terror,neoclassicismo;Estratégias de David em "A morte de Marat" e a memória da Revolução Francesa
2024.1;Discursiva;AR2;Artes e Questões Contemporâneas;Pensamento social e filosofia;As origens do totalitarismo (Arendt);;;Hannah Arendt,totalitarismo,antissemitismo;Atualidade de "As origens do totalitarismo" diante dos problemas do séc. XXI
2024.1;Discursiva;AR3;Artes e Questões Contemporâneas;Música;Domingo no parque (Gilberto Gil);;;Gilberto Gil,Tropicália,1967,guitarra elétrica;"Domingo no parque" e a Tropicália no contexto dos anos 1960
2024.1;Discursiva;AR4;Artes e Questões Contemporâneas;Cinema;O pagador de promessas;;;Anselmo Duarte,Cannes,sertão,religiosidade,campo x cidade;Temas de "O pagador de promessas" e a representação do campo no Brasil urbano
2024.1;Discursiva;AR5;Artes e Questões Contemporâneas;Literatura brasileira;Torto arado;;;Itamar Vieira Junior,sertão da Bahia,questão agrária,quilombolas;Leitura de "Torto arado" e a persistência do mundo rural
