# Vestibular FGV Unificado 2026.1 — provas de 01 e 02/11/2025. Caderno objetivo T2OBJ-T01 (tipo 1). Gabarito oficial PRELIMINAR.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2026.1;Objetiva;1;Matemática;Aritmética e problemas;contagem de posições;C;;fila;Posição de uma pessoa contada do início e do fim da fila: total de pessoas
2026.1;Objetiva;2;Matemática;Sequências (PA e PG);PA em tabela;B;;progressão aritmética;Tabela 3x3 com linhas e colunas em PA: achar o termo X
2026.1;Objetiva;3;Matemática;Álgebra e equações;problema com equações;A;;razão;Duas amigas trocam dinheiro dobrando a quantia da outra: razão das quantias iniciais
2026.1;Objetiva;4;Matemática;Geometria plana;razão de áreas de triângulos;D;;triângulo,ponto médio;Razão entre a área de um triângulo interno e a do triângulo ABC
2026.1;Objetiva;5;Matemática;Geometria espacial;volume de cone e cilindro;D;;semelhança;Água de um cone cheio até 1/3 da altura despejada num cilindro: altura final
2026.1;Objetiva;6;Matemática;Álgebra e equações;produtos notáveis e médias;C;;média;Médias de X, Y, Z e dos quadrados: média de XY, XZ, YZ
2026.1;Objetiva;7;Matemática;Lógica e raciocínio;tabela de torneio;B;;raciocínio lógico;Torneio de tênis de mesa com tabela parcial de vitórias: deduzir resultados
2026.1;Objetiva;8;Matemática;Probabilidade;eventos independentes;A;;playoff;Probabilidade de um time vencer um playoff melhor de 3 com mando de quadra
2026.1;Objetiva;9;Matemática;Razão, proporção e porcentagem;variação percentual;B;;investimento;Carteira 80/20 com ativo que perde 50%: nova fração do ativo de risco
2026.1;Objetiva;10;Matemática;Geometria espacial;poliedros e relação de Euler;B;;Euler;Poliedro com 4 arestas por vértice e 2 faces quadradas: número de faces triangulares
2026.1;Objetiva;11;Matemática;Análise combinatória;arranjos com restrição;E;;senha;Senhas de 4 dígitos distintos que não formam sequência crescente
2026.1;Objetiva;12;Matemática;Estatística;média ponderada;C;;média;Média geral de avaliações em três plataformas com números diferentes de votos
2026.1;Objetiva;13;Matemática;Exponencial e logaritmo;logaritmo em decibéis;E;;logaritmo,aplicação;Comparar intensidades sonoras de 120 dB e 60 dB pela fórmula logarítmica
2026.1;Objetiva;14;Matemática;Conjuntos;diagrama de Venn;D;;conjuntos;Alunos que se preparam para três olimpíadas: contagem com interseções
2026.1;Objetiva;15;Matemática;Trigonometria;função cosseno (modelagem);A;;função trigonométrica;Preço sazonal modelado por A·cos(2πt/12)+B: preço em março
2026.1;Objetiva;16;Língua Portuguesa;Semântica e vocabulário;vocabulário em tirinha;E;;tirinha,Frank & Ernest;Palavra que resume a situação da flor na tirinha
2026.1;Objetiva;17;Língua Portuguesa;Argumentação e estratégias do texto;estratégia argumentativa;C;;texto de opinião,Paulo Silvestre;Estratégia do autor para mostrar que políticos manipulam desejo e medo
2026.1;Objetiva;18;Língua Portuguesa;Interpretação de texto;posição do autor;A;;texto de opinião;Visão do autor sobre a realidade atual "um tanto distópica"
