# Vestibular Direito SP 2021.1 — prova própria da Escola de Direito SP (não Unificado), 01 e 02/11/2020, formato de pandemia: TUDO discursivo, em 4 blocos. Valores por pergunta na coluna valor. Raciocínio Lógico-Matemático entra como Matemática.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2021.1;Redação;R;Redação;Política e democracia;polidez e civilidade na democracia;;;civilidade,cortesia,democracia,Norbert Elias,Renato Janine Ribeiro;Tema: "A polidez e a civilidade, nas relações sociais e na vida pública, constituem mera formalidade ou são essenciais para a democracia?"
2021.1;Discursiva;LP1;Língua Portuguesa;Interpretação de texto;compreensão;;1,0;George Minois,riso,ideologias;A que "valores e certezas" o autor se refere
2021.1;Discursiva;LP2;Língua Portuguesa;Reescrita e voz verbal;passiva para ativa;;1,0;voz ativa;Passar oração para a voz ativa sem alterar o sentido
2021.1;Discursiva;LP3;Língua Portuguesa;Interpretação de texto;compreensão;;1,0;filosofia,ciência,certezas;Papel da filosofia e da ciência em relação às certezas humanas
2021.1;Discursiva;LP4;Língua Portuguesa;Orações e relações lógicas;reescrita com conjunção;;1,0;orações,conjunções;Reescrever oração iniciando com conjunção adequada
2021.1;Discursiva;LP5;Língua Portuguesa;Semântica e vocabulário;advérbios "aqui" e "ali";;1,0;dêixis,advérbios de lugar;"Aqui" e "ali" foram usados no sentido habitual?
2021.1;Discursiva;LP6;Língua Portuguesa;Semântica e vocabulário;sinônimos metafórico e próprio;;1,0;sinônimos,metáfora,couraça;Dois sinônimos para "couraça", um metafórico e um em sentido próprio
2021.1;Discursiva;LP7;Língua Portuguesa;Interpretação de texto;relação entre charge e texto;;1,0;charge,humor,sátira;O alvo da sátira da charge aparece no texto de Minois?
2021.1;Discursiva;LP8;Língua Portuguesa;Semântica e vocabulário;sentido figurado x literal;;1,0;charge,abismo,conotação;"Abismo" figurado no texto e na charge
2021.1;Discursiva;LP9;Língua Portuguesa;Interpretação de texto;coerência do verbete;;1,0;clichês,Manual da Redação;O redator do verbete sobre clichês seguiu a própria recomendação?
2021.1;Discursiva;LP10;Língua Portuguesa;Reescrita e voz verbal;futuro do pretérito e correlação verbal;;1,0;tempos verbais,correlação;Reescrever com "tenderia" e ajustar a correlação verbal
2021.1;Discursiva;IN11;Inglês;Compreensão geral;resumo em português;;;estátuas,Edward Colston,The Economist,escravidão;Resumir em português o artigo sobre ações contra estátuas (180–300 palavras)
2021.1;Discursiva;IN12;Inglês;Compreensão geral;resposta em inglês;;;estátuas,Leste Europeu,comunismo,NYT;Responder em inglês sobre como o Leste Europeu lidou com estátuas comunistas
2021.1;Discursiva;IN13;Inglês;Compreensão geral;composição argumentativa em inglês;;;bandeirantes,estátuas,memória;Composição em inglês sobre as estátuas dos bandeirantes
