# Vestibular FGV Unificado 2023.1 — provas de 14 e 15/11/2022 (redação digitada, 200–450 palavras). Dois cadernos objetivos: MH = Matemática+Humanas (1–30), IL = Inglês+Língua Portuguesa (1–30). Gabarito lido dos destaques do caderno-gabarito oficial (escaneado). Houve reaplicação da redação com o tema "No Brasil, ainda se sofre da referida 'moléstia de Nabuco'?" — fora da contagem.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2023.1;Objetiva;MH1;Matemática;Razão, proporção e porcentagem;porcentagem (gorjeta);B;;divisão de conta;Conta dividida igualmente com 10% de gorjeta x despesa individual
2023.1;Objetiva;MH2;Matemática;Geometria analítica;área de triângulo formado por retas;D;;retas,interseção;Área do triângulo delimitado por três retas
2023.1;Objetiva;MH3;Matemática;Sequências (PA e PG);média dos termos de uma PA;A;;PA;Razão da PA com a1=1 e média dos 2021 primeiros termos igual a 102
2023.1;Objetiva;MH4;Matemática;Geometria analítica;distância do taxista;D;;distância,plano cartesiano;Distância do taxista de A a B e de B a C
2023.1;Objetiva;MH5;Matemática;Razão, proporção e porcentagem;porcentagem sobre porcentagem;B;;imposto,nota fiscal;Quanto de imposto foi acrescentado ao preço combinado
2023.1;Objetiva;MH6;Matemática;Geometria plana;área entre círculo e triângulo;E;;círculo,triângulo isósceles,tangência;Área do triângulo fora do círculo
2023.1;Objetiva;MH7;Matemática;Álgebra e equações;sistema de equações;C;;fichas,saquinhos;Fichas azuis e amarelas em saquinhos: quantos com duas amarelas
2023.1;Objetiva;MH8;Matemática;Razão, proporção e porcentagem;aumento e desconto sucessivos;E;;porcentagem;Aumento e desconto do mesmo percentual levando de R$150 a R$126
2023.1;Objetiva;MH9;Matemática;Análise combinatória;senhas com restrições;C;;senha,princípio multiplicativo;Senhas de 3 caracteres com ao menos um especial e um numérico
2023.1;Objetiva;MH10;Matemática;Exponencial e logaritmo;função inversa da logística;B;;boato,logaritmo natural,função inversa;Inversa de p=1/(1+A·e^(−ct)): tempo em função do percentual
2023.1;Objetiva;MH11;Matemática;Geometria espacial;área e volume de cubos;E;;cubo,contêiner;Economia de material ao dobrar a aresta do contêiner cúbico
2023.1;Objetiva;MH12;Matemática;Probabilidade;pares não decrescentes;D;;urna,com reposição;Probabilidade de o par sorteado ser não decrescente
2023.1;Objetiva;MH13;Matemática;Análise combinatória;anagramas com restrição;C;;anagramas,COMUM;Anagramas de COMUM sem as duas letras M juntas
2023.1;Objetiva;MH14;Matemática;Aritmética e problemas;ciclos e MMC;B;;semáforos,periodicidade;Tempo em que dois semáforos ficam vermelhos ao mesmo tempo em 24h
2023.1;Objetiva;MH15;Matemática;Funções;distância mínima (função quadrática);D;;movimento,mínimo,plano cartesiano;Instante em que duas partículas em movimento ficam mais próximas
2023.1;Objetiva;MH16;Atualidades;Economia global;política monetária e juros em 2022;A;;juros,inflação,guerra na Ucrânia,mapa;Verdadeiro/falso sobre juros nominais no mundo no 1º semestre de 2022
2023.1;Objetiva;MH17;Atualidades;Economia global;crise alimentar global;D;;fome,guerra na Ucrânia,commodities;Crise global de abastecimento alimentar como consequência estrutural
2023.1;Objetiva;MH18;Atualidades;Meio ambiente e clima;violência contra ativistas na Amazônia;C;;Bruno Pereira,Dom Phillips,COP26,Código Florestal;Medidas para aumentar a proteção de ativistas ambientais
2023.1;Objetiva;MH19;História;Idade Moderna;Inglaterra Tudor;A;;Maria I,Reforma,Espanha,Inglaterra;Turbulências do reinado de Maria I da Inglaterra
2023.1;Objetiva;MH20;História;Brasil Império;dissolução da Constituinte de 1823;C;;José Bonifácio,D. Pedro I,Constituição de 1824;Dissolução da Constituinte por D. Pedro I e a oligarquia
2023.1;Objetiva;MH21;História;Revoluções (séc. XVIII–XIX);hegemonia britânica no séc. XIX;E;;Império Britânico,Revolução Industrial,imperialismo;Razões da hegemonia britânica: industrialização e subordinação de territórios
2023.1;Objetiva;MH22;História;Movimentos sociais e cidadania;1968;B;;maio de 68,contracultura,juventude,Cohn-Bendit;Os acontecimentos de 1968 como rebeldia juvenil e contracultura
2023.1;Objetiva;MH23;História;Brasil pós-1985;PMDB na redemocratização;D;;PMDB,Diretas,Nova República;O PMDB e a restauração da democracia nos anos 1980
