# Vestibular FGV Unificado 2025.1 — provas de 14 e 15/11/2024. Caderno objetivo A101 (tipo 1), escaneado: texto por OCR, gabarito lido dos destaques amarelos do caderno-gabarito oficial.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2025.1;Objetiva;1;Matemática;Razão, proporção e porcentagem;regra de três composta;B;;tratores;Tratores necessários para arar o dobro da área na metade do tempo
2025.1;Objetiva;2;Matemática;Aritmética e problemas;conversão de unidades e velocidade;A;;download,unidades;Tempo de download de 7,7 MB a 56 kbps
2025.1;Objetiva;3;Matemática;Geometria espacial;conservação de volume;D;;prisma,cilindro,massinha;Massinha quadrada remodelada em disco de mesma espessura: raio do disco
2025.1;Objetiva;4;Matemática;Geometria plana;áreas de quadrados sobrepostos;E;;áreas;Área sombreada entre quatro quadrados alinhados pelo vértice
2025.1;Objetiva;5;Matemática;Álgebra e equações;operações definidas;D;;operações;Calcular expressão com operações # e & definidas no enunciado
2025.1;Objetiva;6;Matemática;Álgebra e equações;sistema de equações do 1º grau;D;;sistema,frações;Pesos de pizza e manteiga: diferença entre os dois
2025.1;Objetiva;7;Matemática;Razão, proporção e porcentagem;misturas;E;;porcentagem,mistura;Mistura de duas tintas com % de ciano diferentes: quantidade da tinta A
2025.1;Objetiva;8;Matemática;Probabilidade;probabilidade em tabuleiro (passeio aleatório);C;;tabuleiro,saltos;Sapo saltando num tabuleiro 3x3: probabilidade de chegar a um canto em até 4 saltos
2025.1;Objetiva;9;Matemática;Geometria plana;relações métricas no triângulo retângulo;A;;altura,hipotenusa;Altura relativa à hipotenusa dividida em segmentos de 9 e 4
2025.1;Objetiva;10;Matemática;Sequências (PA e PG);soma de PG infinita;B;;série geométrica;Soma de uma série de termos em PG
2025.1;Objetiva;11;Matemática;Sequências (PA e PG);sequência recursiva;C;;recorrência;Sequência em que cada termo é o produto dos dois anteriores: terceiro termo
2025.1;Objetiva;12;Matemática;Geometria espacial;cilindro planificado (hélice);A;;cilindro,planificação;Escada em hélice a 45° em torno de silo cilíndrico: número de voltas
2025.1;Objetiva;13;Matemática;Geometria analítica;rotação de ponto e distância;C;;plano cartesiano;Rotação de A(3,0) em torno de P(0,m) resultando em A'(3,8)
2025.1;Objetiva;14;Matemática;Probabilidade;funções injetivas (contagem);E;;combinatória,funções;Probabilidade de uma função de A (3 elem.) em B (4 elem.) ser injetiva
2025.1;Objetiva;15;Matemática;Trigonometria;lei dos senos;B;;triângulo,máximo;Distância máxima de C a A com ângulo ACB de 30°
2025.1;Objetiva;16;Língua Portuguesa;Interpretação de texto;humor em tirinha;E;;tirinha,humor;Recurso que gera o humor da tirinha (contraste)
2025.1;Objetiva;17;Língua Portuguesa;Pontuação;vírgulas: oração adjetiva e vocativo;C;;vírgula,tirinha;Função das vírgulas nos quadrinhos
2025.1;Objetiva;18;Língua Portuguesa;Interpretação de texto;posição da autora;A;;trabalho remoto;Posição da autora sobre trabalho presencial x remoto
2025.1;Objetiva;19;Língua Portuguesa;Semântica e vocabulário;sinonímia em contexto;D;;sinônimos,trabalho remoto;Validade de sinônimos propostos para expressões do texto
2025.1;Objetiva;20;Língua Portuguesa;Figuras de linguagem e estilo;linguagem conotativa;D;;conotação,metáfora;Trecho que NÃO contém linguagem conotativa
2025.1;Objetiva;21;Língua Portuguesa;Sintaxe;sujeito oracional;C;;oração subordinada substantiva,infinitivo;Exemplo de sujeito oracional com verbo no infinitivo
2025.1;Objetiva;22;Língua Portuguesa;Literatura;O Ateneu;A;;Raul Pompeia,colégio como microcosmo;O colégio está para o mundo como microcosmo para macrocosmo
2025.1;Objetiva;23;Língua Portuguesa;Literatura;O Ateneu;B;;Raul Pompeia,memória,tempo;Percepção do tempo nas reflexões do narrador
2025.1;Objetiva;24;Língua Portuguesa;Literatura;O Ateneu;E;;Raul Pompeia,ilustração;O que a ilustração de Pompeia NÃO indica ao leitor
2025.1;Objetiva;25;Língua Portuguesa;Literatura;O Ateneu;B;;Raul Pompeia,memorialismo,crônica de saudades;Relação dúplice e contraditória do narrador com sua matéria
2025.1;Objetiva;26;Língua Portuguesa;Orações e relações lógicas;oração adverbial condicional;E;;orações reduzidas;Valor da oração "Bem considerando" (condição)
2025.1;Objetiva;27;Língua Portuguesa;Reescrita e voz verbal;discurso direto para indireto;D;;discurso indireto,tempos verbais;Transpor fala do pai para o discurso indireto
2025.1;Objetiva;28;Língua Portuguesa;Literatura;No meio do caminho (Drummond);B;;Carlos Drummond de Andrade,Modernismo,repetição;Recurso central do poema: reiteração múltipla
2025.1;Objetiva;29;Língua Portuguesa;Literatura;No meio do caminho (Drummond);A;;Carlos Drummond de Andrade,Modernismo;Conquista modernista usada no poema: direito à pesquisa estética
2025.1;Objetiva;30;Língua Portuguesa;Literatura;No meio do caminho (Drummond);C;;Carlos Drummond de Andrade,licença poética,norma culta;Licença poética: infrações à norma culta ("tinha uma pedra")
2025.1;Objetiva;31;Inglês;Referência e vocabulário em contexto;referência de frase;E;;escravidão,mulheres brancas do Sul,EUA;A que se refere "They didn't know how bad it was"
2025.1;Objetiva;32;Inglês;Inferência;afirmação sustentada;C;;escravidão,mercado de escravos;Afirmação sustentada sobre mulheres sulistas e a escravidão
2025.1;Objetiva;33;Inglês;Inferência;presumir a partir de lei;E;;coverture laws,propriedade;O que se presume a partir das leis de coverture
2025.1;Objetiva;34;Inglês;Referência e vocabulário em contexto;referência de frase;A;;escravidão,abolição;Sentido da última frase "In the subjugation of others they had tasted freedom"
2025.1;Objetiva;35;Inglês;Referência e vocabulário em contexto;referência de expressão;D;;Rússia,EUA,liberdade;"The gulf between Russian and western views of freedom"
